,p,Run,avg_assort,issues,l_steps,n_agents,CI2,d,o
0,0.05,0,0.3114789747360053,3,1000,100,True,0.7,0.4
1,0.05,1,0.05005280223200156,3,1000,100,True,0.7,0.4
2,0.05,2,0.4108730975756188,3,1000,100,True,0.7,0.4
3,0.05,3,0.5144399557397362,3,1000,100,True,0.7,0.4
4,0.05,4,0.43285923061583653,3,1000,100,True,0.7,0.4
5,0.05,5,0.42850233096010676,3,1000,100,True,0.7,0.4
6,0.05,6,0.0299333732874732,3,1000,100,True,0.7,0.4
7,0.05,7,0.5399197024602232,3,1000,100,True,0.7,0.4
8,0.05,8,0.5266992228136982,3,1000,100,True,0.7,0.4
9,0.05,9,0.501390037947432,3,1000,100,True,0.7,0.4
10,0.1,10,0.14579047217240357,3,1000,100,True,0.7,0.4
11,0.1,11,0.14302283330008628,3,1000,100,True,0.7,0.4
12,0.1,12,0.16702604421600098,3,1000,100,True,0.7,0.4
13,0.1,13,0.17274811507036622,3,1000,100,True,0.7,0.4
14,0.1,14,0.1763388792889787,3,1000,100,True,0.7,0.4
15,0.1,15,0.21061573264864752,3,1000,100,True,0.7,0.4
16,0.1,16,0.1633294583558905,3,1000,100,True,0.7,0.4
17,0.1,17,0.18436862111832872,3,1000,100,True,0.7,0.4
18,0.1,18,0.1645989008766753,3,1000,100,True,0.7,0.4
19,0.1,19,0.0014966919739799085,3,1000,100,True,0.7,0.4
20,0.15000000000000002,20,0.13986079255953662,3,1000,100,True,0.7,0.4
21,0.15000000000000002,21,0.1029546687292352,3,1000,100,True,0.7,0.4
22,0.15000000000000002,22,0.1022434458257679,3,1000,100,True,0.7,0.4
23,0.15000000000000002,23,0.08416200347683395,3,1000,100,True,0.7,0.4
24,0.15000000000000002,24,0.07174709394257929,3,1000,100,True,0.7,0.4
25,0.15000000000000002,25,0.09634974554358984,3,1000,100,True,0.7,0.4
26,0.15000000000000002,26,0.11892012768914995,3,1000,100,True,0.7,0.4
27,0.15000000000000002,27,0.11589132525415619,3,1000,100,True,0.7,0.4
28,0.15000000000000002,28,0.12199875900136074,3,1000,100,True,0.7,0.4
29,0.15000000000000002,29,0.06369827982100496,3,1000,100,True,0.7,0.4
30,0.2,30,0.06989713922148012,3,1000,100,True,0.7,0.4
31,0.2,31,0.07026653486421983,3,1000,100,True,0.7,0.4
32,0.2,32,0.04950592640986947,3,1000,100,True,0.7,0.4
33,0.2,33,0.04439189725818874,3,1000,100,True,0.7,0.4
34,0.2,34,0.052071509702457754,3,1000,100,True,0.7,0.4
35,0.2,35,0.05451281438274879,3,1000,100,True,0.7,0.4
36,0.2,36,0.048723695171998954,3,1000,100,True,0.7,0.4
37,0.2,37,0.07412356356780932,3,1000,100,True,0.7,0.4
38,0.2,38,0.07644493979685318,3,1000,100,True,0.7,0.4
39,0.2,39,0.060342023728102955,3,1000,100,True,0.7,0.4
40,0.25,40,0.05537399366072116,3,1000,100,True,0.7,0.4
41,0.25,41,0.04912765085056412,3,1000,100,True,0.7,0.4
42,0.25,42,0.031740454005819194,3,1000,100,True,0.7,0.4
43,0.25,43,0.025260546846905624,3,1000,100,True,0.7,0.4
44,0.25,44,0.02585251651929497,3,1000,100,True,0.7,0.4
45,0.25,45,0.0366771108233685,3,1000,100,True,0.7,0.4
46,0.25,46,0.040788860120692605,3,1000,100,True,0.7,0.4
47,0.25,47,0.04878892460050941,3,1000,100,True,0.7,0.4
48,0.25,48,0.06648317339159344,3,1000,100,True,0.7,0.4
49,0.25,49,0.04051495857909067,3,1000,100,True,0.7,0.4
50,0.3,50,0.03541284835102806,3,1000,100,True,0.7,0.4
51,0.3,51,0.03296380157847383,3,1000,100,True,0.7,0.4
52,0.3,52,0.02582749787671797,3,1000,100,True,0.7,0.4
53,0.3,53,0.03901145435973122,3,1000,100,True,0.7,0.4
54,0.3,54,-0.007956979530236103,3,1000,100,True,0.7,0.4
55,0.3,55,0.03133903426628743,3,1000,100,True,0.7,0.4
56,0.3,56,0.032905245907285725,3,1000,100,True,0.7,0.4
57,0.3,57,0.009184108986021865,3,1000,100,True,0.7,0.4
58,0.3,58,0.05018557696598633,3,1000,100,True,0.7,0.4
59,0.3,59,0.03284276799464305,3,1000,100,True,0.7,0.4
60,0.35000000000000003,60,0.024001024916397,3,1000,100,True,0.7,0.4
61,0.35000000000000003,61,0.03948692037653339,3,1000,100,True,0.7,0.4
62,0.35000000000000003,62,0.028254701213152298,3,1000,100,True,0.7,0.4
63,0.35000000000000003,63,0.02410057803747734,3,1000,100,True,0.7,0.4
64,0.35000000000000003,64,0.04602232208482276,3,1000,100,True,0.7,0.4
65,0.35000000000000003,65,-0.004583098124054673,3,1000,100,True,0.7,0.4
66,0.35000000000000003,66,0.017070944650794378,3,1000,100,True,0.7,0.4
67,0.35000000000000003,67,0.021536316222091272,3,1000,100,True,0.7,0.4
68,0.35000000000000003,68,0.027419594068216795,3,1000,100,True,0.7,0.4
69,0.35000000000000003,69,0.01131049116999326,3,1000,100,True,0.7,0.4
70,0.4,70,0.0006191525846927625,3,1000,100,True,0.7,0.4
71,0.4,71,0.0010979549619531427,3,1000,100,True,0.7,0.4
72,0.4,72,0.01734292291677418,3,1000,100,True,0.7,0.4
73,0.4,73,0.007978289751608194,3,1000,100,True,0.7,0.4
74,0.4,74,0.012048850291627443,3,1000,100,True,0.7,0.4
75,0.4,75,0.025158627997096367,3,1000,100,True,0.7,0.4
76,0.4,76,-0.010367603786709907,3,1000,100,True,0.7,0.4
77,0.4,77,0.012391339786360844,3,1000,100,True,0.7,0.4
78,0.4,78,0.022799500887623576,3,1000,100,True,0.7,0.4
79,0.4,79,0.0200136704939183,3,1000,100,True,0.7,0.4
80,0.45,80,-0.0027911003217462042,3,1000,100,True,0.7,0.4
81,0.45,81,0.019698631835255317,3,1000,100,True,0.7,0.4
82,0.45,82,-0.007654567430775367,3,1000,100,True,0.7,0.4
83,0.45,83,0.01090508942822342,3,1000,100,True,0.7,0.4
84,0.45,84,0.012867194380295788,3,1000,100,True,0.7,0.4
85,0.45,85,0.01063956560043003,3,1000,100,True,0.7,0.4
86,0.45,86,0.003218284421156379,3,1000,100,True,0.7,0.4
87,0.45,87,0.00720519686185053,3,1000,100,True,0.7,0.4
88,0.45,88,0.00790011680984921,3,1000,100,True,0.7,0.4
89,0.45,89,0.012521731168232283,3,1000,100,True,0.7,0.4
90,0.5,90,-0.00690846844478529,3,1000,100,True,0.7,0.4
91,0.5,91,0.00397022103272928,3,1000,100,True,0.7,0.4
92,0.5,92,0.004589091694681348,3,1000,100,True,0.7,0.4
93,0.5,93,0.01314326407572256,3,1000,100,True,0.7,0.4
94,0.5,94,0.01285670280686369,3,1000,100,True,0.7,0.4
95,0.5,95,-0.007093746712887432,3,1000,100,True,0.7,0.4
96,0.5,96,0.014090378912144742,3,1000,100,True,0.7,0.4
97,0.5,97,0.008825404806372112,3,1000,100,True,0.7,0.4
98,0.5,98,-0.005969417979151866,3,1000,100,True,0.7,0.4
99,0.5,99,0.0033626418713836766,3,1000,100,True,0.7,0.4
100,0.55,100,0.006019709806999129,3,1000,100,True,0.7,0.4
101,0.55,101,0.010949296205503565,3,1000,100,True,0.7,0.4
102,0.55,102,0.0027825547083449626,3,1000,100,True,0.7,0.4
103,0.55,103,0.00455143263385303,3,1000,100,True,0.7,0.4
104,0.55,104,0.014000238913673293,3,1000,100,True,0.7,0.4
105,0.55,105,0.007917618820585282,3,1000,100,True,0.7,0.4
106,0.55,106,-0.0016261475660353816,3,1000,100,True,0.7,0.4
107,0.55,107,0.005972508834763351,3,1000,100,True,0.7,0.4
108,0.55,108,0.0010450043056382103,3,1000,100,True,0.7,0.4
109,0.55,109,0.001537583015044556,3,1000,100,True,0.7,0.4
110,0.6000000000000001,110,0.003534561194684134,3,1000,100,True,0.7,0.4
111,0.6000000000000001,111,-0.002263877101252311,3,1000,100,True,0.7,0.4
112,0.6000000000000001,112,0.0036947314648155525,3,1000,100,True,0.7,0.4
113,0.6000000000000001,113,-0.0049896584481390754,3,1000,100,True,0.7,0.4
114,0.6000000000000001,114,-0.002450232197502027,3,1000,100,True,0.7,0.4
115,0.6000000000000001,115,-0.003333775239899655,3,1000,100,True,0.7,0.4
116,0.6000000000000001,116,-0.005189023180707132,3,1000,100,True,0.7,0.4
117,0.6000000000000001,117,-0.0007123821713160289,3,1000,100,True,0.7,0.4
118,0.6000000000000001,118,0.007605520026209515,3,1000,100,True,0.7,0.4
119,0.6000000000000001,119,-0.0152762230942105,3,1000,100,True,0.7,0.4
120,0.6500000000000001,120,-0.004909607131273423,3,1000,100,True,0.7,0.4
121,0.6500000000000001,121,-0.006826142717697479,3,1000,100,True,0.7,0.4
122,0.6500000000000001,122,-0.0022320551167321436,3,1000,100,True,0.7,0.4
123,0.6500000000000001,123,-0.00996248945250854,3,1000,100,True,0.7,0.4
124,0.6500000000000001,124,-0.0031641321348240847,3,1000,100,True,0.7,0.4
125,0.6500000000000001,125,0.003999359099976862,3,1000,100,True,0.7,0.4
126,0.6500000000000001,126,-0.008161567637896938,3,1000,100,True,0.7,0.4
127,0.6500000000000001,127,-0.006486620547007694,3,1000,100,True,0.7,0.4
128,0.6500000000000001,128,-0.0030923652669105073,3,1000,100,True,0.7,0.4
129,0.6500000000000001,129,-0.006697676384928647,3,1000,100,True,0.7,0.4
130,0.7000000000000001,130,-0.002792688014565081,3,1000,100,True,0.7,0.4
131,0.7000000000000001,131,-0.0003278474824576144,3,1000,100,True,0.7,0.4
132,0.7000000000000001,132,0.002260364733058724,3,1000,100,True,0.7,0.4
133,0.7000000000000001,133,0.0009391380738524019,3,1000,100,True,0.7,0.4
134,0.7000000000000001,134,-0.0014483565842455658,3,1000,100,True,0.7,0.4
135,0.7000000000000001,135,0.0034153712899229853,3,1000,100,True,0.7,0.4
136,0.7000000000000001,136,0.003117647554024425,3,1000,100,True,0.7,0.4
137,0.7000000000000001,137,0.0008372309266414607,3,1000,100,True,0.7,0.4
138,0.7000000000000001,138,-0.006285910440197277,3,1000,100,True,0.7,0.4
139,0.7000000000000001,139,0.0031362193465756132,3,1000,100,True,0.7,0.4
140,0.7500000000000001,140,-0.007635305395116333,3,1000,100,True,0.7,0.4
141,0.7500000000000001,141,-0.004571297879593503,3,1000,100,True,0.7,0.4
142,0.7500000000000001,142,-0.004467815327751162,3,1000,100,True,0.7,0.4
143,0.7500000000000001,143,-0.004311284600325897,3,1000,100,True,0.7,0.4
144,0.7500000000000001,144,-0.007886398019389305,3,1000,100,True,0.7,0.4
145,0.7500000000000001,145,-0.009558700526214749,3,1000,100,True,0.7,0.4
146,0.7500000000000001,146,0.004826340553377216,3,1000,100,True,0.7,0.4
147,0.7500000000000001,147,-0.008283000418964839,3,1000,100,True,0.7,0.4
148,0.7500000000000001,148,-0.0012632829814746378,3,1000,100,True,0.7,0.4
149,0.7500000000000001,149,-0.007045782232206699,3,1000,100,True,0.7,0.4
150,0.8,150,-0.008901357022762785,3,1000,100,True,0.7,0.4
151,0.8,151,-0.003710656362697398,3,1000,100,True,0.7,0.4
152,0.8,152,-0.006053306259045374,3,1000,100,True,0.7,0.4
153,0.8,153,-0.0065538836341754005,3,1000,100,True,0.7,0.4
154,0.8,154,-0.009468968313970387,3,1000,100,True,0.7,0.4
155,0.8,155,-0.010616269924029698,3,1000,100,True,0.7,0.4
156,0.8,156,-0.004771950061024489,3,1000,100,True,0.7,0.4
157,0.8,157,-0.010310319751650615,3,1000,100,True,0.7,0.4
158,0.8,158,-0.0041175714854721,3,1000,100,True,0.7,0.4
159,0.8,159,-0.006709683156958393,3,1000,100,True,0.7,0.4
160,0.8500000000000001,160,-0.0031083403448680046,3,1000,100,True,0.7,0.4
161,0.8500000000000001,161,-0.009999317812396715,3,1000,100,True,0.7,0.4
162,0.8500000000000001,162,-0.007745837866558573,3,1000,100,True,0.7,0.4
163,0.8500000000000001,163,-0.0063361184885224195,3,1000,100,True,0.7,0.4
164,0.8500000000000001,164,-0.0028901591675510245,3,1000,100,True,0.7,0.4
165,0.8500000000000001,165,-0.009013736068029047,3,1000,100,True,0.7,0.4
166,0.8500000000000001,166,-0.010039840138858228,3,1000,100,True,0.7,0.4
167,0.8500000000000001,167,-0.00792336322443331,3,1000,100,True,0.7,0.4
168,0.8500000000000001,168,-0.007028118496295144,3,1000,100,True,0.7,0.4
169,0.8500000000000001,169,-0.010293525965822151,3,1000,100,True,0.7,0.4
170,0.9000000000000001,170,-0.011385705451674208,3,1000,100,True,0.7,0.4
171,0.9000000000000001,171,-0.009663639976874548,3,1000,100,True,0.7,0.4
172,0.9000000000000001,172,-0.007588840471014602,3,1000,100,True,0.7,0.4
173,0.9000000000000001,173,-0.012546127697020496,3,1000,100,True,0.7,0.4
174,0.9000000000000001,174,0.0,3,1000,100,True,0.7,0.4
175,0.9000000000000001,175,-0.009057526406129224,3,1000,100,True,0.7,0.4
176,0.9000000000000001,176,-0.012892130058416641,3,1000,100,True,0.7,0.4
177,0.9000000000000001,177,-0.012188062282750859,3,1000,100,True,0.7,0.4
178,0.9000000000000001,178,-0.007781637595941124,3,1000,100,True,0.7,0.4
179,0.9000000000000001,179,-0.009330479607898888,3,1000,100,True,0.7,0.4
180,0.9500000000000001,180,-0.011180227920807388,3,1000,100,True,0.7,0.4
181,0.9500000000000001,181,-0.007655760214677555,3,1000,100,True,0.7,0.4
182,0.9500000000000001,182,-0.009137445845526107,3,1000,100,True,0.7,0.4
183,0.9500000000000001,183,-0.00929001433793044,3,1000,100,True,0.7,0.4
184,0.9500000000000001,184,-0.00871369763643403,3,1000,100,True,0.7,0.4
185,0.9500000000000001,185,-0.011108196133175048,3,1000,100,True,0.7,0.4
186,0.9500000000000001,186,-0.010721455820015406,3,1000,100,True,0.7,0.4
187,0.9500000000000001,187,-0.009193731000348487,3,1000,100,True,0.7,0.4
188,0.9500000000000001,188,-0.008723298126199779,3,1000,100,True,0.7,0.4
189,0.9500000000000001,189,-0.009129217126622945,3,1000,100,True,0.7,0.4
